# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct 27 18:17:07 2024
#
# User preference: *
#
# CONSTRAINT:  where (discoverymethod like '%Radial%')
#
# COLUMN hip_name:       HIP ID
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
loc_rowid,hip_name,sy_snum,sy_pnum,discoverymethod,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
1,HIP 60202,2,1,Radial Velocity,17.10000,1.70000,-1.30000,0,2.60,0.40,-0.30,0,,,,,,4.4403800,0.0038479,-0.0038479
2,HIP 60202,2,1,Radial Velocity,19.40000,1.50000,-1.50000,0,2.70,0.30,-0.30,0,-0.350,0.090,-0.090,0,[Fe/H],4.4403800,0.0038479,-0.0038479
3,HIP 60202,2,1,Radial Velocity,15.46400,0.12300,-0.12500,0,2.09,0.64,-0.63,0,-0.260,0.100,-0.100,0,[Fe/H],4.4403800,0.0038479,-0.0038479
4,HIP 74793,1,1,Radial Velocity,14.74000,2.50000,-2.50000,0,2.78,0.69,-0.69,0,-0.020,,,0,[Fe/H],4.5621600,0.0039035,-0.0039035
5,HIP 74793,1,1,Radial Velocity,10.80000,1.20000,-1.30000,0,1.70,0.40,-0.30,0,,,,,,4.5621600,0.0039035,-0.0039035
6,HIP 74793,1,1,Radial Velocity,10.50000,2.47000,-2.47000,0,1.80,0.25,-0.25,0,0.040,0.040,-0.040,0,[Fe/H],4.5621600,0.0039035,-0.0039035
7,HIP 116076,1,1,Radial Velocity,3.55900,0.11400,-0.12200,0,1.78,0.43,-0.29,0,-0.210,0.100,-0.100,0,[Fe/H],4.9178100,0.0028262,-0.0028262
8,HIP 116076,1,1,Radial Velocity,3.20000,0.40000,-0.60000,0,1.20,0.40,-0.30,0,,,,,,4.9178100,0.0028262,-0.0028262
9,HIP 116076,1,1,Radial Velocity,4.80000,,,0,2.20,0.10,-0.20,0,-0.240,0.030,-0.030,0,[Fe/H],4.9178100,0.0028262,-0.0028262
10,HIP 79248,1,2,Radial Velocity,4.64000,0.19000,-0.19000,0,,,,,,,,,,6.3830000,0.0003512,-0.0003512
11,HIP 79248,1,2,Radial Velocity,4.97500,,,0,0.91,0.14,-0.09,0,0.400,0.100,-0.100,0,[M/H],6.3830000,0.0003512,-0.0003512
12,HIP 79248,1,2,Radial Velocity,8.05300,1.63200,-0.88300,0,0.91,0.11,-0.11,0,,,,,,6.3830000,0.0003512,-0.0003512
13,HIP 79248,1,2,Radial Velocity,4.66000,0.15000,-0.15000,0,0.90,0.04,-0.04,0,0.410,,,0,[Fe/H],6.3830000,0.0003512,-0.0003512
14,HIP 79248,1,2,Radial Velocity,4.74000,0.06000,-0.06000,0,0.90,,,0,0.510,0.060,-0.060,0,[Fe/H],6.3830000,0.0003512,-0.0003512
15,HIP 79248,1,2,Radial Velocity,4.85000,0.15000,-0.15000,0,0.97,0.04,-0.04,0,0.405,0.047,-0.047,0,[Fe/H],6.3830000,0.0003512,-0.0003512
16,HIP 79248,1,2,Radial Velocity,4.89000,,,0,1.00,,,0,0.350,,,0,[Fe/H],6.3830000,0.0003512,-0.0003512
17,HIP 79248,1,2,Radial Velocity,4.53300,,,0,0.90,,,0,,,,,,6.3830000,0.0003512,-0.0003512
18,HIP 96901,3,1,Radial Velocity,1.75200,0.05400,-0.05300,0,0.98,0.04,-0.04,0,0.074,0.061,-0.061,0,[Fe/H],6.0642800,0.0006029,-0.0006029
19,HIP 96901,3,1,Radial Velocity,1.68000,0.15000,-0.15000,0,0.99,,,0,0.038,,,0,[Fe/H],6.0642800,0.0006029,-0.0006029
20,HIP 96901,3,1,Radial Velocity,1.50000,,,0,1.00,0.05,-0.05,0,0.050,0.060,-0.060,0,[Fe/H],6.0642800,0.0006029,-0.0006029
21,HIP 96901,3,1,Radial Velocity,1.68000,0.07000,-0.07000,0,1.03,0.15,-0.12,0,0.060,0.100,-0.100,0,[M/H],6.0642800,0.0006029,-0.0006029
22,HIP 96901,3,1,Radial Velocity,1.68000,0.07000,-0.07000,0,,,,,,,,,,6.0642800,0.0006029,-0.0006029
23,HIP 96901,3,1,Radial Velocity,1.78000,0.08000,-0.08000,0,1.08,0.04,-0.04,0,0.060,,,0,[Fe/H],6.0642800,0.0006029,-0.0006029
24,HIP 79540,1,1,Radial Velocity,4.32000,0.15000,-0.12000,0,1.22,0.13,-0.14,0,-0.010,0.100,-0.100,0,[Fe/H],4.7542900,0.0050550,-0.0050550
25,HIP 103527,2,1,Radial Velocity,10.30000,,,0,2.30,,,0,-0.052,0.023,-0.023,0,[Fe/H],5.2747600,0.0026539,-0.0026539
26,HIP 103527,2,1,Radial Velocity,9.20700,0.16000,-0.07700,0,2.10,0.13,-0.09,0,-0.060,0.100,-0.100,0,[Fe/H],5.2747600,0.0026539,-0.0026539
27,HIP 103527,2,1,Radial Velocity,9.84000,0.30000,-0.30000,0,2.10,0.10,-0.10,0,,,,,,5.2747600,0.0026539,-0.0026539
28,,1,1,Imaging,12.00000,1.00000,-1.00000,0,0.85,0.20,-0.10,0,,,,,,12.0572000,0.0022750,-0.0022750
29,,1,1,Imaging,8.00000,1.00000,-1.00000,0,0.85,0.20,-0.10,0,,,,,,12.0572000,0.0022750,-0.0022750
30,,1,1,Imaging,8.00000,3.00000,-2.00000,0,0.62,0.06,-0.11,0,,,,,,12.0572000,0.0022750,-0.0022750
31,,1,1,Imaging,8.00000,4.00000,-2.00000,0,0.85,0.20,-0.10,0,,,,,,12.0572000,0.0022750,-0.0022750
32,HIP 70791,1,1,Radial Velocity,0.91000,0.13000,-0.10000,0,0.99,0.19,-0.13,0,-0.770,0.030,-0.030,0,[Fe/H],5.3339000,0.0019998,-0.0019998
33,HIP 70791,1,1,Radial Velocity,0.88300,0.03600,-0.04300,0,1.05,0.27,-0.18,0,-0.780,0.100,-0.100,0,[Fe/H],5.3339000,0.0019998,-0.0019998
34,HIP 50887,1,2,Radial Velocity,1.99000,0.26000,-0.38000,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],6.2037400,0.0004976,-0.0004976
35,HIP 50887,1,2,Radial Velocity,0.86000,0.35000,-0.22000,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],6.2037400,0.0004976,-0.0004976
36,,1,1,Imaging,4.00000,1.00000,-1.00000,0,0.17,0.01,-0.02,0,0.010,0.050,-0.050,0,[Fe/H],14.3374000,0.0007720,-0.0007720
37,,2,1,Imaging,13.00000,1.00000,-1.00000,0,0.19,0.02,-0.02,0,,,,,,,,
38,,1,1,Imaging,,,,,0.35,0.02,-0.02,0,,,,,,12.9025000,0.0011510,-0.0011510
39,,1,1,Imaging,24.50000,2.50000,-2.50000,0,0.40,0.05,-0.05,0,,,,,,12.9025000,0.0011510,-0.0011510
40,,1,1,Imaging,13.90000,1.10000,-1.10000,0,0.11,0.01,-0.01,0,,,,,,15.0123000,0.0006240,-0.0006240
41,,2,1,Imaging,11.60000,1.30000,-1.00000,0,0.05,0.01,-0.01,0,,,,,,15.6894000,0.0012240,-0.0012240
42,,1,1,Imaging,18.00000,1.00000,-1.00000,0,,,,,,,,,,16.9967000,0.0010820,-0.0010820
43,,1,1,Imaging,7.50000,2.50000,-2.50000,0,0.02,,,0,,,,,,18.9668000,0.0068330,-0.0068330
44,,1,1,Imaging,28.00000,10.00000,-7.00000,0,,,,,,,,,,18.3299000,0.0022940,-0.0022940
45,,1,1,Imaging,20.00000,1.00000,-1.00000,0,,,,,,,,,,14.8180000,0.0017250,-0.0017250
46,,1,1,Imaging,5.00000,2.00000,-2.00000,0,0.02,,,0,,,,,,17.4076000,0.0021540,-0.0021540
47,,1,1,Imaging,4.00000,1.00000,-1.00000,0,0.19,0.02,-0.02,0,,,,,,17.4076000,0.0021540,-0.0021540
48,,2,3,Eclipse Timing Variations,1.86000,0.05000,-0.05000,0,0.48,,,0,,,,,,12.1376000,0.0036870,-0.0036870
49,,2,3,Eclipse Timing Variations,1.90000,0.10000,-0.10000,0,0.48,0.03,-0.03,0,,,,,,12.1376000,0.0036870,-0.0036870
50,,1,1,Imaging,12.00000,1.00000,-1.00000,0,,,,,,,,,,10.8133000,0.0020880,-0.0020880
51,,1,1,Imaging,12.50000,1.50000,-1.50000,0,0.60,0.05,-0.05,0,,,,,,11.9484000,0.0007370,-0.0007370
52,HIP 12184,4,1,Radial Velocity,9.88000,0.94000,-0.94000,0,1.16,0.04,-0.04,0,0.245,0.195,-0.195,0,[Fe/H],6.9608500,0.0005120,-0.0005120
53,HIP 12184,4,1,Radial Velocity,6.60000,0.90000,-0.90000,0,1.16,0.04,-0.04,0,,,,,,6.9608500,0.0005120,-0.0005120
54,HIP 12184,4,1,Radial Velocity,13.82000,1.80000,-1.80000,0,1.93,0.27,-0.27,0,0.190,,,0,[Fe/H],6.9608500,0.0005120,-0.0005120
55,HIP 42527,1,1,Radial Velocity,7.90200,0.19900,-0.37800,0,1.23,0.15,-0.15,0,-0.250,0.040,-0.040,0,[Fe/H],4.2377300,0.0047288,-0.0047288
56,HIP 42527,1,1,Radial Velocity,7.10000,1.60000,-1.60000,0,1.23,0.15,-0.15,0,-0.250,0.040,-0.040,0,[Fe/H],4.2377300,0.0047288,-0.0047288
57,HIP 90344,2,1,Radial Velocity,3.88000,0.85000,-0.85000,0,0.98,0.05,-0.05,0,-0.460,0.050,-0.050,0,[Fe/H],4.4321600,0.0062380,-0.0062380
58,HIP 53721,1,3,Radial Velocity,2.45000,0.10000,-0.10000,0,1.06,0.03,-0.03,0,0.040,0.030,-0.030,0,[Fe/H],4.8783700,0.0038294,-0.0038294
59,HIP 53721,1,3,Radial Velocity,2.53000,0.07000,-0.06000,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0,[M/H],4.8783700,0.0038294,-0.0038294
60,HIP 53721,1,3,Radial Velocity,2.76000,0.10000,-0.10000,0,,,,,,,,,,4.8783700,0.0038294,-0.0038294
61,HIP 53721,1,3,Radial Velocity,2.60000,0.13000,-0.13000,0,,,,,,,,,,4.8783700,0.0038294,-0.0038294
62,HIP 53721,1,3,Radial Velocity,2.43800,0.08500,-0.08500,0,1.01,0.05,-0.05,0,0.026,0.061,-0.061,0,[Fe/H],4.8783700,0.0038294,-0.0038294
63,HIP 53721,1,3,Radial Velocity,0.54000,0.06600,-0.07300,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0,[M/H],4.8783700,0.0038294,-0.0038294
64,HIP 53721,1,3,Radial Velocity,1.34000,0.22000,-0.22000,0,,,,,,,,,,4.8783700,0.0038294,-0.0038294
65,HIP 53721,1,3,Radial Velocity,0.49700,0.03200,-0.03000,0,1.01,0.05,-0.05,0,0.026,0.061,-0.061,0,[Fe/H],4.8783700,0.0038294,-0.0038294
66,HIP 53721,1,3,Radial Velocity,1.64000,0.29000,-0.48000,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0,[M/H],4.8783700,0.0038294,-0.0038294
67,HIP 53721,1,3,Radial Velocity,1.51000,0.22000,-0.17000,0,1.01,0.05,-0.05,0,0.026,0.061,-0.061,0,[Fe/H],4.8783700,0.0038294,-0.0038294
68,HIP 21547,3,1,Imaging,,,,,1.65,0.36,-0.18,0,,,,,,5.1580600,0.0023075,-0.0023075
