HIP_num,Exo,Multi,discoverymethod,MaxPMass,StarMass
HIP 60202,2,1,Radial Velocity,17.1,2.6
HIP 60202,2,1,Radial Velocity,19.4,2.7
HIP 60202,2,1,Radial Velocity,15.464,2.09
HIP 74793,1,1,Radial Velocity,14.74,2.78
HIP 74793,1,1,Radial Velocity,10.8,1.7
HIP 74793,1,1,Radial Velocity,10.5,1.8
HIP 116076,1,1,Radial Velocity,3.559,1.78
HIP 116076,1,1,Radial Velocity,3.2,1.2
HIP 116076,1,1,Radial Velocity,4.8,2.2
HIP 79248,1,2,Radial Velocity,4.64,
HIP 79248,1,2,Radial Velocity,4.975,0.91
HIP 79248,1,2,Radial Velocity,8.053,0.91
HIP 79248,1,2,Radial Velocity,4.66,0.9
HIP 79248,1,2,Radial Velocity,4.74,0.9
HIP 79248,1,2,Radial Velocity,4.85,0.97
HIP 79248,1,2,Radial Velocity,4.89,1
HIP 79248,1,2,Radial Velocity,4.533,0.9
HIP 96901,3,1,Radial Velocity,1.752,0.98
HIP 96901,3,1,Radial Velocity,1.68,0.99
HIP 96901,3,1,Radial Velocity,1.5,1
HIP 96901,3,1,Radial Velocity,1.68,1.03
HIP 96901,3,1,Radial Velocity,1.68,
HIP 96901,3,1,Radial Velocity,1.78,1.08
HIP 79540,1,1,Radial Velocity,4.32,1.22
HIP 103527,2,1,Radial Velocity,10.3,2.3
HIP 103527,2,1,Radial Velocity,9.207,2.1
HIP 103527,2,1,Radial Velocity,9.84,2.1
,1,1,Imaging,12,0.85
,1,1,Imaging,8,0.85
,1,1,Imaging,8,0.62
,1,1,Imaging,8,0.85
HIP 70791,1,1,Radial Velocity,0.91,0.99
HIP 70791,1,1,Radial Velocity,0.883,1.05
HIP 50887,1,2,Radial Velocity,1.99,1.54
HIP 50887,1,2,Radial Velocity,0.86,1.54
,1,1,Imaging,4,0.17
,2,1,Imaging,13,0.19
,1,1,Imaging,,0.35
,1,1,Imaging,24.5,0.4
,1,1,Imaging,13.9,0.11
,2,1,Imaging,11.6,0.05
,1,1,Imaging,18,
,1,1,Imaging,7.5,0.02
,1,1,Imaging,28,
,1,1,Imaging,20,
,1,1,Imaging,5,0.02
,1,1,Imaging,4,0.19
,2,3,Eclipse Timing Variations,1.86,0.48
,2,3,Eclipse Timing Variations,1.9,0.48
,1,1,Imaging,12,
,1,1,Imaging,12.5,0.6
HIP 12184,4,1,Radial Velocity,9.88,1.16
HIP 12184,4,1,Radial Velocity,6.6,1.16
HIP 12184,4,1,Radial Velocity,13.82,1.93
HIP 42527,1,1,Radial Velocity,7.902,1.23
HIP 42527,1,1,Radial Velocity,7.1,1.23
HIP 90344,2,1,Radial Velocity,3.88,0.98
HIP 53721,1,3,Radial Velocity,2.45,1.06
HIP 53721,1,3,Radial Velocity,2.53,1.06
HIP 53721,1,3,Radial Velocity,2.76,
HIP 53721,1,3,Radial Velocity,2.6,
HIP 53721,1,3,Radial Velocity,2.438,1.01
HIP 53721,1,3,Radial Velocity,0.54,1.06
HIP 53721,1,3,Radial Velocity,1.34,
HIP 53721,1,3,Radial Velocity,0.497,1.01
HIP 53721,1,3,Radial Velocity,1.64,1.06
HIP 53721,1,3,Radial Velocity,1.51,1.01
HIP 21547,3,1,Imaging,,1.65
HIP 21547,3,1,Imaging,,1.65
HIP 21547,3,1,Imaging,2,1.75
HIP 113357,1,1,Radial Velocity,0.468,
HIP 113357,1,1,Radial Velocity,0.47,
HIP 113357,1,1,Radial Velocity,0.464,1.07
HIP 113357,1,1,Radial Velocity,0.46,1.04
HIP 113357,1,1,Radial Velocity,0.472,1.03
HIP 43587,2,5,Radial Velocity,0.824,0.9
