HIP,EXO,Multi,discoverymethod
HIP 60202,2,1,Radial Velocity
HIP 60202,2,1,Radial Velocity
HIP 60202,2,1,Radial Velocity
HIP 74793,1,1,Radial Velocity
HIP 74793,1,1,Radial Velocity
HIP 74793,1,1,Radial Velocity
HIP 116076,1,1,Radial Velocity
HIP 116076,1,1,Radial Velocity
HIP 116076,1,1,Radial Velocity
HIP 79248,1,2,Radial Velocity
HIP 79248,1,2,Radial Velocity
HIP 79248,1,2,Radial Velocity
HIP 79248,1,2,Radial Velocity
HIP 79248,1,2,Radial Velocity
HIP 79248,1,2,Radial Velocity
HIP 79248,1,2,Radial Velocity
HIP 79248,1,2,Radial Velocity
HIP 96901,3,1,Radial Velocity
HIP 96901,3,1,Radial Velocity
HIP 96901,3,1,Radial Velocity
HIP 96901,3,1,Radial Velocity
HIP 96901,3,1,Radial Velocity
HIP 96901,3,1,Radial Velocity
HIP 79540,1,1,Radial Velocity
HIP 103527,2,1,Radial Velocity
HIP 103527,2,1,Radial Velocity
HIP 103527,2,1,Radial Velocity
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
HIP 70791,1,1,Radial Velocity
HIP 70791,1,1,Radial Velocity
HIP 50887,1,2,Radial Velocity
HIP 50887,1,2,Radial Velocity
,1,1,Imaging
,2,1,Imaging
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
,2,1,Imaging
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
,2,3,Eclipse Timing Variations
,2,3,Eclipse Timing Variations
,1,1,Imaging
,1,1,Imaging
HIP 12184,4,1,Radial Velocity
HIP 12184,4,1,Radial Velocity
HIP 12184,4,1,Radial Velocity
HIP 42527,1,1,Radial Velocity
HIP 42527,1,1,Radial Velocity
HIP 90344,2,1,Radial Velocity
HIP 53721,1,3,Radial Velocity
HIP 53721,1,3,Radial Velocity
HIP 53721,1,3,Radial Velocity
HIP 53721,1,3,Radial Velocity
HIP 53721,1,3,Radial Velocity
HIP 53721,1,3,Radial Velocity
HIP 53721,1,3,Radial Velocity
HIP 53721,1,3,Radial Velocity
HIP 53721,1,3,Radial Velocity
HIP 53721,1,3,Radial Velocity
HIP 21547,3,1,Imaging
HIP 21547,3,1,Imaging
HIP 21547,3,1,Imaging
HIP 113357,1,1,Radial Velocity
HIP 113357,1,1,Radial Velocity
HIP 113357,1,1,Radial Velocity
HIP 113357,1,1,Radial Velocity
HIP 113357,1,1,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
HIP 43587,2,5,Radial Velocity
