HIP,Exo,Multi,discoverymethod,MaxPMass,StarMass
60202,2,1,Radial Velocity,17.1,2.6
74793,1,1,Radial Velocity,14.74,2.78
116076,1,1,Radial Velocity,3.559,1.78
79248,1,2,Radial Velocity,4.64,
96901,3,1,Radial Velocity,1.752,0.98
79540,1,1,Radial Velocity,4.32,1.22
103527,2,1,Radial Velocity,10.3,2.3
70791,1,1,Radial Velocity,0.91,0.99
50887,1,2,Radial Velocity,1.99,1.54
12184,4,1,Radial Velocity,9.88,1.16
42527,1,1,Radial Velocity,7.902,1.23
90344,2,1,Radial Velocity,3.88,0.98
53721,1,3,Radial Velocity,2.45,1.06
21547,3,1,Imaging,,1.65
113357,1,1,Radial Velocity,0.468,
43587,2,5,Radial Velocity,0.824,0.9
31039,1,1,Radial Velocity,2.4,1.7
64924,1,3,Radial Velocity,0.0161,0.91
31592,1,2,Radial Velocity,1.94,1.44
65721,1,1,Radial Velocity,7.49,1.11
11791,2,2,Radial Velocity,2.479,1.92
73136,1,1,Radial Velocity,1.31,1.44
12247,1,1,Radial Velocity,5.3,2.4
114855,3,1,Radial Velocity,3.2,1.4
30034,1,1,Imaging,13.5,
25486,1,1,Imaging,3.2,1.2
102409,1,3,Transit,,
104780,1,1,Radial Velocity,1.47,0.86
78407,1,1,Radial Velocity,1.11,1.1
12684,1,1,Radial Velocity,1.7,1.09
88617,1,1,Radial Velocity,10.4,0.82
27803,1,2,Radial Velocity,0.027,0.7
49067,1,2,Radial Velocity,0.045,0.74
90979,1,2,Radial Velocity,0.53,0.57
2247,1,1,Radial Velocity,5.1,0.74
10337,1,2,Radial Velocity,0.7,0.68
87937,1,1,Radial Velocity,0.00116,0.16
27305,1,4,Radial Velocity,0.07636,1.21
8501,1,1,Radial Velocity,0.437,1.44
28941,2,1,Radial Velocity,0.00812,0.87
96258,1,1,Radial Velocity,0.03839,1.25
116748,2,1,Transit,,
57050,1,2,Radial Velocity,0.298,0.34
16069,1,2,Transit,0.09637,0.76
1475,2,2,Radial Velocity,0.01683,0.38
19165,1,1,Radial Velocity,0.03209,0.69
19394,1,3,Radial Velocity,0.03335,
22627,1,1,Radial Velocity,0.752,0.39
22762,1,3,Radial Velocity,0.02611,0.43
34785,1,1,Radial Velocity,0.05097,0.62
29295,2,2,Radial Velocity,0.02287,0.58
31300,1,1,Transit,,0.42
33226,1,1,Radial Velocity,0.01259,0.36
3143,1,1,Radial Velocity,0.0409,0.53
36208,1,2,Radial Velocity,0.00909,0.29
1292,2,1,Radial Velocity,3.37,0.9
5812,1,1,Radial Velocity,0.0258,0.47
6365,1,1,Transit,0.01051,0.52
10037,1,3,Radial Velocity,0.0056,0.68
15799,2,1,Radial Velocity,0.036,0.89
43790,1,2,Radial Velocity,2.51,0.65
120005,2,1,Radial Velocity,0.03335,0.64
47103,1,3,Transit,,
47780,1,3,Transit,0.00199,0.46
51317,1,1,Radial Velocity,0.00538,0.43
79126,1,1,Radial Velocity,0.02246,0.63
84460,1,2,Radial Velocity,0.00777,0.5
54035,1,2,Radial Velocity,0.00846,0.39
54646,2,2,Radial Velocity,0.0322,0.69
55042,1,1,Radial Velocity,0.03115,0.35
56528,1,3,Radial Velocity,0.018,0.48
57087,1,1,Radial Velocity,,0.45
60398,1,1,Radial Velocity,1.55,0.49
61706,1,1,Radial Velocity,0.04153,0.45
62452,1,1,Radial Velocity,0.00872,0.31
64792,1,1,Imaging,4.0,1.22
65859,1,1,Radial Velocity,0.01636,0.51
68469,1,1,Radial Velocity,0.02051,0.51
74995,1,3,Radial Velocity,0.05223,0.31
80459,1,1,Radial Velocity,0.00887,0.3
83043,1,1,Radial Velocity,0.258,0.51
85523,1,1,Radial Velocity,0.035,0.35
85647,2,4,Radial Velocity,4.95,0.71
86057,2,1,Radial Velocity,25.1,0.46
86214,1,2,Radial Velocity,0.01384,0.27
86087,1,1,Radial Velocity,0.02832,0.55
86162,1,2,Radial Velocity,0.058,0.41
91128,2,1,Radial Velocity,0.04292,0.57
91608,1,1,Radial Velocity,0.03382,0.53
93101,1,1,Radial Velocity,0.00931,0.58
102401,1,2,Transit,,
106440,1,1,Radial Velocity,0.8,0.45
109388,1,2,Radial Velocity,0.891,0.5
10138,2,1,Radial Velocity,4.42,0.93
113020,1,4,Radial Velocity,2.6596,0.37
114046,1,2,Radial Velocity,0.01321,0.49
116132,2,1,Astrometry,2.26,0.44
116384,3,1,Imaging,11.0,1.08
60093,1,1,Radial Velocity,0.03744,0.62
11048,1,1,Radial Velocity,0.06186,0.6
99699,1,1,Radial Velocity,0.03036,0.59
103768,1,1,Radial Velocity,9.403,0.67
115752,1,3,Transit,0.01347,0.62
49189,1,1,Radial Velocity,0.04097,0.56
4872,2,1,Radial Velocity,0.01771,0.52
86287,1,1,Radial Velocity,0.02089,0.43
97657,1,2,Transit,,
80076,1,2,Transit,8.9,
32209,1,1,Transit,1.9,1.3
56379,1,1,Imaging,8.5,2.4
56508,2,1,Radial Velocity,1.61,2.28
56572,1,1,Radial Velocity,1.23,1.08
7599,1,6,Radial Velocity,0.04122,1.06
57172,2,1,Radial Velocity,0.25,0.57
57291,1,1,Radial Velocity,0.18,0.95
57370,1,1,Radial Velocity,0.49,0.92
57428,1,1,Radial Velocity,5.9,1.9
57467,1,2,Radial Velocity,5.9,1.95
57443,2,1,Radial Velocity,0.05,0.85
57735,1,1,Radial Velocity,0.35837,0.95
57820,2,1,Radial Velocity,0.96,1.68
57931,1,1,Radial Velocity,0.09,0.8
58237,1,1,Radial Velocity,0.62,0.79
58263,2,1,Radial Velocity,0.367,1.33
58331,1,1,Radial Velocity,2.89,1.28
58374,1,1,Radial Velocity,0.03524,0.77
58451,1,2,Radial Velocity,0.203,0.82
58952,1,1,Radial Velocity,5.559,1.22
59610,1,1,Radial Velocity,7.613,1.03
59625,1,1,Radial Velocity,10.13,1.39
7978,1,1,Radial Velocity,0.93,1.1
59743,2,1,Radial Velocity,9.518,0.93
59960,1,1,Imaging,12.95,1.32
8159,1,1,Radial Velocity,6.38,0.99
60081,2,2,Radial Velocity,0.203,1.11
60644,1,1,Radial Velocity,0.261,1.22
60648,1,1,Radial Velocity,3.0,0.74
60689,1,5,Transit,,
60788,2,1,Radial Velocity,3.5,0.84
61020,1,1,Radial Velocity,2.6,1.85
61028,1,2,Radial Velocity,1.36,0.99
61177,1,1,Radial Velocity,0.86,1.2
61300,1,2,Radial Velocity,0.054,1.05
61298,1,1,Radial Velocity,2.99,0.98
61595,2,1,Radial Velocity,0.28,1.2
61723,1,2,Transit,,1.08
61740,1,1,Radial Velocity,10.9,2.1
62662,2,1,Transit,,1.21
61820,1,2,Transit,0.01432,1.0
62039,1,1,Radial Velocity,27.099,1.02
62534,1,2,Radial Velocity,7.47,0.83
62653,1,1,Radial Velocity,4.4,1.94
62875,1,1,Radial Velocity,4.8,1.4
63090,1,1,Radial Velocity,15.83,1.4
63211,1,1,Radial Velocity,3.42,1.15
63203,1,1,Radial Velocity,5.0,1.8
63584,1,2,Radial Velocity,3.1,
8541,2,2,Radial Velocity,0.804,2.01
63833,1,2,Radial Velocity,0.36,0.58
64022,2,1,Radial Velocity,6.3,1.49
64184,1,1,Radial Velocity,8.0,1.47
64295,1,1,Radial Velocity,1.24,0.68
64459,2,1,Radial Velocity,0.825,0.94
64457,1,2,Radial Velocity,1.033,0.87
8770,1,3,Radial Velocity,4.8,1.22
64797,1,2,Radial Velocity,0.097,0.83
65042,1,1,Radial Velocity,8.29,1.18
65117,2,2,Radial Velocity,1.4,0.83
65808,1,1,Radial Velocity,2.06,1.04
9242,1,1,Radial Velocity,6.5,0.9
66047,1,1,Radial Velocity,0.16,1.05
66192,1,2,Radial Velocity,2.13,1.23
9094,2,2,Radial Velocity,0.622,0.91
8928,1,1,Radial Velocity,6.54,1.91
66903,1,1,Radial Velocity,6.4,2.16
68162,1,1,Radial Velocity,1.22,1.18
9519,1,1,Radial Velocity,2.98,1.01
69888,1,1,Radial Velocity,22.16,1.36
70170,1,1,Radial Velocity,0.02,0.29
70123,2,3,Radial Velocity,2.974,1.05
10800,1,1,Radial Velocity,1.96,0.67
70695,1,1,Radial Velocity,0.237,0.9
9683,1,2,Radial Velocity,2.176,1.02
70623,3,1,Radial Velocity,0.356,1.02
70950,1,1,Radial Velocity,0.086,0.73
71395,1,2,Radial Velocity,1.769,0.83
71481,1,1,Radial Velocity,0.89,0.65
72203,1,1,Radial Velocity,1.6,0.99
72339,1,1,Radial Velocity,1.149,0.93
72845,1,1,Radial Velocity,2.2,1.61
9960,1,1,Radial Velocity,3.31,1.35
10085,1,1,Radial Velocity,14.0,
73146,1,1,Radial Velocity,6.2,1.09
73261,3,1,Radial Velocity,1.49,1.23
73674,2,3,Radial Velocity,1.42,0.95
74273,1,2,Radial Velocity,0.0318,1.09
74653,1,5,Radial Velocity,0.0286,1.05
74500,1,2,Radial Velocity,1.61,1.1
74856,1,1,Radial Velocity,2.3,1.28
74326,1,1,Transit,,
74948,1,1,Radial Velocity,13.102,1.18
75181,1,3,Radial Velocity,0.01485,0.87
74961,1,1,Radial Velocity,2.0,1.33
75281,1,1,Radial Velocity,0.84,0.88
76351,1,1,Radial Velocity,0.2,0.68
10301,1,2,Radial Velocity,0.03524,0.77
10743,1,2,Radial Velocity,0.865,1.29
10626,1,1,Radial Velocity,1.92,1.02
76311,1,1,Radial Velocity,19.871,2.69
1419,1,1,Transit,,1.32
10657,1,1,Radial Velocity,7.8,2.4
77358,1,2,Radial Velocity,0.049,0.99
77257,1,1,Radial Velocity,0.0429,1.05
77301,1,4,Radial Velocity,0.46,1.14
77740,1,1,Radial Velocity,9.316,1.03
522,2,3,Radial Velocity,0.26,1.21
79242,2,1,Radial Velocity,5.1,0.99
77783,3,1,Radial Velocity,1.9,1.69
78169,1,1,Radial Velocity,1.62,1.03
77838,1,1,Radial Velocity,1.21,1.51
78521,1,1,Radial Velocity,3.532,0.97
79346,1,1,Radial Velocity,5.76,1.12
79219,1,1,Radial Velocity,1.89,1.0
1499,1,2,Radial Velocity,0.024,1.02
80250,1,2,Radial Velocity,2.12,0.93
79755,2,1,Radial Velocity,0.07771,0.58
80337,2,1,Radial Velocity,1.21,1.11
11130,1,1,Radial Velocity,1.121,1.43
80486,2,2,Radial Velocity,5.14,1.38
80680,1,1,Radial Velocity,0.85,1.22
80484,1,2,Radial Velocity,1.23,1.21
80687,1,1,Radial Velocity,1.3,1.64
80838,1,1,Radial Velocity,0.359,1.29
81022,1,1,Radial Velocity,1.36,1.1
81375,1,1,Radial Velocity,12.597,0.93
1547,1,1,Radial Velocity,3.1,1.61
80902,1,1,Radial Velocity,2.71,1.17
82632,1,1,Radial Velocity,3.0,1.02
82651,1,1,Radial Velocity,1.5,0.93
11433,1,2,Transit,,
83020,1,3,Radial Velocity,0.064,0.79
83547,1,1,Radial Velocity,2.73,1.12
83541,1,1,Radial Velocity,0.02077,0.91
83389,1,1,Radial Velocity,1.15,0.89
83289,1,1,Radial Velocity,9.1,2.07
83983,1,1,Radial Velocity,4.73,1.08
84069,1,2,Radial Velocity,1.8,0.99
83949,1,2,Radial Velocity,0.99,1.15
84988,1,2,Radial Velocity,0.024,1.03
84171,1,2,Radial Velocity,9.71,0.93
84787,1,1,Radial Velocity,0.74,1.25
84607,1,2,Radial Velocity,0.0158,0.79
84856,2,1,Radial Velocity,10.67,1.38
85294,1,1,Radial Velocity,1.53,1.3
85268,1,5,Radial Velocity,,
84769,1,1,Radial Velocity,14.0,1.8
85911,1,2,Radial Velocity,1.13,1.12
86375,1,2,Radial Velocity,2.218,1.19
1640,1,2,Radial Velocity,0.96,1.31
86796,1,4,Radial Velocity,1.7,1.08
12048,2,1,Radial Velocity,0.26,1.11
12191,1,1,Radial Velocity,4.4,1.29
87330,1,1,Radial Velocity,9.84,0.42
87601,1,2,Radial Velocity,0.79,1.12
12186,2,1,Radial Velocity,0.0696,1.2
88268,2,1,Radial Velocity,0.48,1.13
88194,2,1,Radial Velocity,0.05078,0.99
88414,1,1,Radial Velocity,14.3,
88348,1,4,Radial Velocity,0.33855,0.87
88595,1,1,Radial Velocity,19.0,1.1
88650,1,1,Radial Velocity,2.89,1.02
1666,1,1,Radial Velocity,6.43,1.5
89354,1,1,Radial Velocity,3.53,0.81
89047,1,1,Radial Velocity,1.7,1.64
89583,1,1,Radial Velocity,3.7,1.0
89474,1,1,Radial Velocity,0.03,0.99
89844,1,2,Radial Velocity,7.48,
90004,1,1,Radial Velocity,0.27,1.07
1692,1,1,Radial Velocity,6.1,1.09
12436,1,1,Radial Velocity,11.3,0.85
90485,1,2,Radial Velocity,2.94,1.4
90593,2,1,Radial Velocity,0.555,1.13
91085,1,1,Radial Velocity,2.72,0.96
13192,1,1,Radial Velocity,3.12,1.2
91852,1,1,Radial Velocity,2.7,2.0
93281,1,1,Radial Velocity,9.5,
92895,1,1,Radial Velocity,0.598,1.39
93373,1,1,Radial Velocity,0.02825,0.71
13291,1,1,Radial Velocity,0.87,0.98
93540,1,2,Radial Velocity,0.01806,0.79
93858,1,1,Radial Velocity,0.04751,1.0
93746,2,2,Radial Velocity,1.348,1.32
94075,3,1,Radial Velocity,7.07,1.03
94256,1,1,Radial Velocity,0.0866,1.15
