HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk,Exo,Multi,discoverymethod,MaxPMass,StarMass
57,0.0,,0.05,-0.1,0.02,0.01,0.04,0.04,0.09,0.08,0.07,0.16,0.05,-0.06,0.02,0.0,0.15,10.17,0.03,-27.459,thin ,0.0,0.0,None,0.0,0.0
154,-0.01,,0.16,0.06,,,,-0.06,0.03,,,,,,,,,126.296,1.08,-13.306,thin ,0.0,0.0,None,0.0,0.0
171,-0.75,,0.1,-0.28,-0.69,-0.39,-0.5,-0.52,-0.49,-0.48,-0.45,-0.59,-0.78,-1.16,-0.58,-0.75,-0.61,11.257,0.107,5.756,thin ,0.0,0.0,None,0.0,0.0
184,0.17,,0.09,0.06,0.02,0.08,0.05,0.07,0.13,,0.09,0.13,0.1,0.03,,0.13,0.05,33.173,0.341,6.452,thin ,0.0,0.0,None,0.0,0.0
212,0.0,,,,,,,0.07,0.27,,,,,,,,,222.195,2.573,-123.555,thin ,0.0,0.0,None,0.0,0.0
213,0.34,,0.08,0.16,0.19,0.16,0.06,0.03,0.28,,0.21,0.15,0.29,0.29,,0.33,0.69,147.005,1.711,184.64,thin ,0.0,0.0,None,0.0,0.0
305,0.22,,0.22,0.32,0.12,0.26,0.24,0.24,0.2,0.34,0.22,0.18,0.2,0.07,0.3,0.25,0.03,41.716,0.708,-22.553,thin ,0.0,0.0,None,0.0,0.0
343,0.18,-3.02,0.0,0.08,0.34,0.36,0.38,0.34,0.12,0.22,0.19,0.12,0.25,0.24,0.36,0.25,0.16,97.48,1.842,-28.934,thin ,0.0,0.0,None,0.0,0.0
348,-0.12,-2.33,-0.04,-0.11,-0.22,,-0.11,-0.16,-0.07,-0.02,-0.1,-0.16,-0.15,-0.28,,-0.13,,56.363,1.072,12.971,thin ,0.0,0.0,None,0.0,0.0
379,0.01,-3.07,-0.17,-0.06,0.09,0.16,0.14,0.1,-0.04,0.05,-0.04,-0.09,0.01,-0.01,0.13,-0.01,-0.08,37.387,0.767,88.813,thin ,0.0,0.0,None,0.0,0.0
400,-0.37,,,-0.02,-0.31,,,-0.23,,,-0.22,,,,,-0.4,,24.195,0.521,10.407,thin ,0.0,0.0,None,0.0,0.0
407,0.16,,-0.01,0.12,0.06,0.12,0.05,0.14,0.11,0.15,0.08,0.08,0.14,0.06,0.15,0.15,0.13,14.98,0.325,-41.647,thin ,0.0,0.0,None,0.0,0.0
410,-0.06,-2.99,-0.31,-0.07,0.08,0.03,0.13,0.07,0.01,-0.02,-0.04,-0.11,-0.03,-0.17,-0.02,-0.07,-0.07,115.764,2.536,60.727,thin ,0.0,0.0,None,0.0,0.0
413,-0.08,-0.63,-0.07,-0.05,-0.13,0.08,-0.17,-0.07,-0.05,0.01,-0.06,-0.13,-0.09,-0.26,-0.09,-0.12,0.02,41.152,0.906,-29.923,thin ,0.0,0.0,None,0.0,0.0
417,0.18,-2.9,-0.06,-0.04,0.39,0.35,0.44,0.44,0.29,0.16,0.17,0.2,0.24,0.15,0.21,0.29,0.06,145.309,3.211,-1.276,thin ,0.0,0.0,None,0.0,0.0
419,-0.39,,-0.05,,-0.31,,-0.41,-0.27,-0.33,,0.0,,,,,-0.37,,133.823,2.987,-122.949,N/A ,0.0,0.0,None,0.0,0.0
420,0.02,,0.01,-0.13,-0.09,-0.03,,0.03,-0.02,,-0.03,-0.11,0.02,,-0.06,0.02,,25.91,0.579,-33.353,thin ,0.0,0.0,None,0.0,0.0
436,-0.64,,-0.45,-0.05,-0.48,-0.53,-0.4,-0.6,-0.42,0.0,-0.21,0.06,-0.53,-0.86,-0.46,-0.63,,6.19,0.143,-15.197,thin ,0.0,0.0,None,0.0,0.0
447,-0.64,-2.31,-0.29,-0.63,-0.89,-0.6,-0.35,-0.38,-0.3,-0.48,-0.3,,-0.29,-0.48,,-0.44,-0.02,332.903,7.802,51.478,N/A ,0.0,0.0,None,0.0,0.0
459,0.04,-1.37,0.02,-0.27,0.08,0.05,0.0,0.03,-0.53,0.09,0.12,0.08,0.08,-0.12,0.02,-0.52,,27.632,0.66,-50.331,thin ,0.0,0.0,None,0.0,0.0
475,-0.33,-1.65,-0.02,-0.09,-0.35,-0.37,-0.45,-0.18,-0.25,,-0.37,-0.46,,-0.56,-0.3,-0.36,,24.529,0.61,39.749,thin ,0.0,0.0,None,0.0,0.0
476,-0.03,-2.29,-0.24,-0.1,0.16,0.09,0.17,0.12,0.16,0.09,0.01,-0.06,0.03,-0.11,0.02,0.04,0.13,110.514,2.749,26.329,thin ,0.0,0.0,None,0.0,0.0
490,0.09,,0.05,0.05,-0.12,-0.03,-0.12,0.02,0.05,0.11,0.07,-0.06,0.09,-0.15,0.05,-0.02,0.21,28.928,0.742,-25.831,thin ,0.0,0.0,None,0.0,0.0
493,-0.2,-0.97,0.02,-0.11,-0.3,-0.28,-0.43,-0.15,-0.25,,-0.33,-0.41,,-0.55,-0.25,-0.3,,35.515,0.916,11.705,thin ,0.0,0.0,None,0.0,0.0
501,-0.27,,-0.41,-0.48,-0.1,-0.3,-0.12,-0.04,-0.29,,-0.04,0.06,-0.19,-0.23,,-0.07,-0.31,230.516,6.039,-187.651,N/A ,0.0,0.0,None,0.0,0.0
518,0.09,,,0.01,-0.17,0.04,0.08,0.03,0.04,,0.09,0.1,-0.06,-0.09,0.14,0.01,,11.234,0.307,18.294,thin ,0.0,0.0,None,0.0,0.0
522,0.11,-0.36,0.21,0.15,0.18,0.06,0.11,0.16,0.15,0.25,0.15,0.05,0.11,0.04,0.12,0.1,0.23,17.136,0.473,-19.772,thin ,2.0,3.0,Radial Velocity,0.26,1.21
