f_preferred_name,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
HIP 32768 ,0.02 ,-3.29 ,-0.14 ,-0.06 ,0.30 ,0.21 ,0.23 ,0.27 ,0.10 ,-0.05 ,0.00 ,0.15 ,0.08 ,0.06 ,0.06 ,0.04 ,-0.07 ,102.4840381 ,-50.6145387 ,-7.393 ,33.393 ,-41.659 ,53.90 ,thin ,K1III ,2.93 ,1.207 ,12.70 ,-36.20 ,-8.70 ,4489.0 ,1.74 ,,,
HIP 65536 ,-1.00 ,,-0.72 ,-0.35 ,-0.90 ,-0.60 ,-0.82 ,-0.80 ,-0.69 ,-0.61 ,-0.72 ,-0.77 ,-0.88 ,-1.27 ,-0.68 ,-0.86 ,,201.5336068 ,72.3914739 ,-82.024 ,-32.366 ,277.832 ,291.49 ,thin ,M1IIIab ,5.82 ,1.652 ,56.70 ,-18.30 ,-30.40 ,3960.0 ,,,72.25 ,
2MASS 15492281+1438275 ,-1.30 ,,,,-1.84 ,-1.24 ,,-1.20 ,-1.08 ,,-0.95 ,-1.31 ,-1.44 ,-1.72 ,-1.14 ,-1.52 ,,237.3451479 ,14.6409495 ,-193.923 ,-302.590 ,93.891 ,371.46 ,N/A ,,,,,,,6327.4 ,4.63 ,1.35 ,0.93 ,
HIP 98314 ,-0.34 ,-3.30 ,-0.45 ,-0.24 ,-0.29 ,-0.12 ,-0.22 ,-0.22 ,-0.24 ,-0.32 ,-0.25 ,-0.44 ,-0.36 ,-0.48 ,-0.30 ,-0.32 ,-0.37 ,299.6359047 ,7.9206772 ,46.612 ,-81.933 ,13.115 ,95.17 ,thin ,K0 ,6.77 ,0.902 ,28.60 ,47.50 ,-14.90 ,5002.0 ,3.13 ,,5.74 ,
HIP 98316 ,-0.07 ,,-0.07 ,,0.07 ,0.02 ,0.09 ,-0.02 ,0.04 ,0.40 ,0.20 ,0.46 ,-0.02 ,-0.16 ,0.12 ,-0.01 ,,299.6374343 ,-54.9368910 ,6.705 ,-11.785 ,-19.318 ,23.60 ,N/A ,K3+V ,8.54 ,1.050 ,,,,4803.0 ,4.57 ,0.76 ,0.75 ,
HIP 65550 ,-0.04 ,-2.68 ,-0.26 ,-0.07 ,0.01 ,-0.06 ,0.08 ,0.06 ,0.00 ,-0.04 ,-0.04 ,-0.20 ,-0.04 ,-0.11 ,0.02 ,-0.07 ,-0.04 ,201.5691764 ,46.0280569 ,-72.575 ,-28.689 ,80.892 ,112.40 ,thin ,K0III: ,5.87 ,0.985 ,20.70 ,4.40 ,6.10 ,4898.0 ,2.63 ,,10.68 ,
2MASS 19232377+4824576 ,0.04 ,,-0.04 ,0.03 ,-0.29 ,0.03 ,-0.27 ,0.01 ,0.02 ,,0.11 ,0.14 ,0.05 ,-0.17 ,,0.00 ,0.30 ,290.8490905 ,48.4160130 ,233.884 ,-614.117 ,740.579 ,990.10 ,N/A ,,,,,,,5816.0 ,4.60 ,1.04 ,0.96 ,
HIP 98329 ,-0.05 ,,-0.11 ,,-0.04 ,-0.05 ,-0.14 ,-0.03 ,0.00 ,-0.03 ,0.08 ,0.20 ,-0.02 ,-0.14 ,-0.01 ,-0.06 ,,299.6662801 ,-19.9356408 ,21.840 ,-38.342 ,-16.004 ,46.94 ,N/A ,K1V ,9.38 ,0.866 ,,,,5094.0 ,4.36 ,0.85 ,0.81 ,
HIP 98333 ,-0.18 ,,-0.23 ,-0.19 ,-0.23 ,-0.15 ,-0.34 ,-0.23 ,-0.10 ,-0.09 ,-0.23 ,-0.14 ,-0.16 ,-0.41 ,-0.23 ,-0.22 ,-0.20 ,299.6743737 ,70.3669517 ,24.397 ,-42.817 ,138.143 ,146.67 ,thin ,G8III ,6.32 ,0.868 ,-42.60 ,-18.30 ,-11.10 ,4997.8 ,,,10.15 ,
BD+33 2136 ,-0.17 ,-0.60 ,-0.22 ,,-0.26 ,-0.16 ,-0.15 ,-0.24 ,-0.10 ,-0.08 ,-0.15 ,-0.46 ,-0.27 ,-0.45 ,-0.08 ,-0.22 ,-0.34 ,174.7119715 ,32.6418202 ,-110.784 ,10.254 ,71.266 ,132.12 ,N/A ,,,,,,,6066.1 ,4.43 ,1.15 ,1.08 ,
