HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk
32768,0.02,-3.29,-0.14,-0.06,0.3,0.21,0.23,0.27,0.1,-0.05,0.0,0.15,0.08,0.06,0.06,0.04,-0.07,-7.393,33.393,-41.659,thin 
65536,-1.0,,-0.72,-0.35,-0.9,-0.6,-0.82,-0.8,-0.69,-0.61,-0.72,-0.77,-0.88,-1.27,-0.68,-0.86,,-82.024,-32.366,277.832,thin 
98314,-0.34,-3.3,-0.45,-0.24,-0.29,-0.12,-0.22,-0.22,-0.24,-0.32,-0.25,-0.44,-0.36,-0.48,-0.3,-0.32,-0.37,46.612,-81.933,13.115,thin 
98316,-0.07,,-0.07,,0.07,0.02,0.09,-0.02,0.04,0.4,0.2,0.46,-0.02,-0.16,0.12,-0.01,,6.705,-11.785,-19.318,N/A 
65550,-0.04,-2.68,-0.26,-0.07,0.01,-0.06,0.08,0.06,0.0,-0.04,-0.04,-0.2,-0.04,-0.11,0.02,-0.07,-0.04,-72.575,-28.689,80.892,thin 
98329,-0.05,,-0.11,,-0.04,-0.05,-0.14,-0.03,0.0,-0.03,0.08,0.2,-0.02,-0.14,-0.01,-0.06,,21.84,-38.342,-16.004,N/A 
98333,-0.18,,-0.23,-0.19,-0.23,-0.15,-0.34,-0.23,-0.1,-0.09,-0.23,-0.14,-0.16,-0.41,-0.23,-0.22,-0.2,24.397,-42.817,138.143,thin 
98337,-0.17,-3.32,,,,0.15,,0.11,-0.28,-0.17,-0.3,-0.37,-0.22,,-0.11,-0.21,,37.568,-65.892,26.848,thin 
65574,-0.18,,-0.08,-0.01,-0.16,-0.16,-0.11,-0.15,-0.12,0.02,-0.02,0.2,-0.14,-0.31,-0.09,-0.19,-0.12,-25.157,-9.993,-12.218,thin 
32812,0.03,,0.02,,0.19,-0.2,0.15,0.04,0.05,0.32,0.23,0.51,0.02,-0.08,0.16,0.05,,-7.391,33.064,-41.907,N/A 
32813,-0.15,,,,0.02,-0.04,-0.03,-0.01,-0.05,-0.02,-0.04,-0.03,-0.11,-0.33,-0.03,-0.14,,-12.579,56.252,-158.251,N/A 
65583,-0.1,,0.06,0.13,-0.1,-0.01,-0.14,-0.04,-0.04,0.02,-0.07,-0.16,-0.1,-0.37,-0.11,-0.13,-0.06,-68.684,-27.312,22.526,thin 
98353,-0.2,-3.28,,,0.09,-0.07,0.01,0.03,-0.03,-0.01,-0.03,-0.06,-0.15,-0.22,-0.07,-0.15,,51.604,-90.331,-51.18,thin 
98355,-0.52,-0.76,-0.43,-0.22,-0.46,-0.39,-0.55,-0.49,-0.49,-0.38,-0.5,-0.54,-0.62,-0.8,-0.43,-0.56,-0.58,17.77,-31.099,-37.205,thin 
57,0.0,,0.05,-0.1,0.02,0.01,0.04,0.04,0.09,0.08,0.07,0.16,0.05,-0.06,0.02,0.0,0.15,10.17,0.03,-27.459,thin 
65595,-0.01,,-0.13,0.07,-0.09,0.03,-0.22,-0.01,-0.04,0.09,-0.04,0.0,-0.03,-0.15,-0.08,-0.04,,-16.361,-6.523,87.697,thin 
98365,-0.08,,-0.25,-0.12,-0.14,-0.18,-0.24,-0.16,-0.13,-0.07,-0.23,-0.14,-0.18,-0.47,-0.18,-0.22,-0.27,44.235,-77.313,249.762,N/A 
32831,0.34,,,,0.29,0.17,0.11,0.2,0.33,,0.26,,0.23,,,0.26,,-77.499,344.947,35.057,N/A 
98367,-0.25,,-0.37,-0.12,-0.38,-0.16,-0.33,-0.16,-0.29,-0.09,-0.26,-0.22,-0.26,-0.5,-0.19,-0.26,,80.095,-139.969,196.769,thin 
65602,-0.2,,0.04,,-0.15,-0.15,-0.11,-0.21,-0.09,-0.01,0.0,0.19,-0.15,-0.34,-0.14,-0.2,,-25.235,-10.074,-12.263,thin 
80,-0.52,-1.48,-0.35,-0.11,-0.57,-0.26,-0.42,-0.4,-0.39,-0.32,-0.38,-0.53,-0.58,-0.84,-0.4,-0.57,-0.67,69.404,0.294,-14.529,thick 
32851,-0.4,,-0.24,-0.22,-0.34,-0.25,-0.37,-0.34,-0.34,-0.34,-0.25,-0.32,-0.57,-0.66,-0.45,-0.42,-0.22,-6.558,29.084,-0.281,thin 
65626,-0.18,,-0.23,,-0.19,-0.14,-0.14,-0.17,-0.1,-0.04,0.02,0.2,-0.18,-0.34,-0.16,-0.21,,-30.43,-12.187,-27.46,N/A 
98401,-0.58,,,,-0.41,-0.25,-0.23,-0.4,-0.35,-0.12,-0.23,-0.27,-0.34,-0.67,-0.15,-0.31,,18.698,-32.514,156.005,thin 
32868,0.11,,0.06,0.02,0.07,0.08,0.03,0.11,0.06,,0.09,0.03,0.08,,0.09,0.13,,-14.74,65.176,-21.524,thin 
