HIP,X,Y,Z,Exo,Discorery,Multi,MaxPMass,StarMass,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y1
57,10.17,0.03,-27.459,0,None,0,0,0,0,,0.05,-0.1,0.02,0.01,0.04,0.04,0.09,0.08,0.07,0.16,0.05,-0.06,0.02,0,0.15
154,126.296,1.08,-13.306,0,None,0,0,0,-0.01,,0.16,0.06,,,,-0.06,0.03,,,,,,,,
171,11.257,0.107,5.756,0,None,0,0,0,-0.75,,0.1,-0.28,-0.69,-0.39,-0.5,-0.52,-0.49,-0.48,-0.45,-0.59,-0.78,-1.16,-0.58,-0.75,-0.61
184,33.173,0.341,6.452,0,None,0,0,0,0.17,,0.09,0.06,0.02,0.08,0.05,0.07,0.13,,0.09,0.13,0.1,0.03,,0.13,0.05
212,222.195,2.573,-123.555,0,None,0,0,0,0,,,,,,,0.07,0.27,,,,,,,,
213,147.005,1.711,184.64,0,None,0,0,0,0.34,,0.08,0.16,0.19,0.16,0.06,0.03,0.28,,0.21,0.15,0.29,0.29,,0.33,0.69
305,41.716,0.708,-22.553,0,None,0,0,0,0.22,,0.22,0.32,0.12,0.26,0.24,0.24,0.2,0.34,0.22,0.18,0.2,0.07,0.3,0.25,0.03
343,97.48,1.842,-28.934,0,None,0,0,0,0.18,-3.02,0,0.08,0.34,0.36,0.38,0.34,0.12,0.22,0.19,0.12,0.25,0.24,0.36,0.25,0.16
348,56.363,1.072,12.971,0,None,0,0,0,-0.12,-2.33,-0.04,-0.11,-0.22,,-0.11,-0.16,-0.07,-0.02,-0.1,-0.16,-0.15,-0.28,,-0.13,
379,37.387,0.767,88.813,0,None,0,0,0,0.01,-3.07,-0.17,-0.06,0.09,0.16,0.14,0.1,-0.04,0.05,-0.04,-0.09,0.01,-0.01,0.13,-0.01,-0.08
400,24.195,0.521,10.407,0,None,0,0,0,-0.37,,,-0.02,-0.31,,,-0.23,,,-0.22,,,,,-0.4,
407,14.98,0.325,-41.647,0,None,0,0,0,0.16,,-0.01,0.12,0.06,0.12,0.05,0.14,0.11,0.15,0.08,0.08,0.14,0.06,0.15,0.15,0.13
410,115.764,2.536,60.727,0,None,0,0,0,-0.06,-2.99,-0.31,-0.07,0.08,0.03,0.13,0.07,0.01,-0.02,-0.04,-0.11,-0.03,-0.17,-0.02,-0.07,-0.07
413,41.152,0.906,-29.923,0,None,0,0,0,-0.08,-0.63,-0.07,-0.05,-0.13,0.08,-0.17,-0.07,-0.05,0.01,-0.06,-0.13,-0.09,-0.26,-0.09,-0.12,0.02
417,145.309,3.211,-1.276,0,None,0,0,0,0.18,-2.9,-0.06,-0.04,0.39,0.35,0.44,0.44,0.29,0.16,0.17,0.2,0.24,0.15,0.21,0.29,0.06
419,133.823,2.987,-122.949,0,None,0,0,0,-0.39,,-0.05,,-0.31,,-0.41,-0.27,-0.33,,0,,,,,-0.37,
420,25.91,0.579,-33.353,0,None,0,0,0,0.02,,0.01,-0.13,-0.09,-0.03,,0.03,-0.02,,-0.03,-0.11,0.02,,-0.06,0.02,
436,6.19,0.143,-15.197,0,None,0,0,0,-0.64,,-0.45,-0.05,-0.48,-0.53,-0.4,-0.6,-0.42,0,-0.21,0.06,-0.53,-0.86,-0.46,-0.63,
447,332.903,7.802,51.478,0,None,0,0,0,-0.64,-2.31,-0.29,-0.63,-0.89,-0.6,-0.35,-0.38,-0.3,-0.48,-0.3,,-0.29,-0.48,,-0.44,-0.02
459,27.632,0.66,-50.331,0,None,0,0,0,0.04,-1.37,0.02,-0.27,0.08,0.05,0,0.03,-0.53,0.09,0.12,0.08,0.08,-0.12,0.02,-0.52,
475,24.529,0.61,39.749,0,None,0,0,0,-0.33,-1.65,-0.02,-0.09,-0.35,-0.37,-0.45,-0.18,-0.25,,-0.37,-0.46,,-0.56,-0.3,-0.36,
476,110.514,2.749,26.329,0,None,0,0,0,-0.03,-2.29,-0.24,-0.1,0.16,0.09,0.17,0.12,0.16,0.09,0.01,-0.06,0.03,-0.11,0.02,0.04,0.13
490,28.928,0.742,-25.831,0,None,0,0,0,0.09,,0.05,0.05,-0.12,-0.03,-0.12,0.02,0.05,0.11,0.07,-0.06,0.09,-0.15,0.05,-0.02,0.21
493,35.515,0.916,11.705,0,None,0,0,0,-0.2,-0.97,0.02,-0.11,-0.3,-0.28,-0.43,-0.15,-0.25,,-0.33,-0.41,,-0.55,-0.25,-0.3,
