HIP,Sampled,Predicted,Prob
305,9.0,9.0,1.0
118278,9.0,9.0,1.0
117526,10.0,10.0,1.0
17351,10.0,10.0,1.0
17356,10.0,10.0,1.0
19633,10.0,10.0,1.0
20357,10.0,10.0,1.0
20441,10.0,10.0,1.0
20489,9.0,9.0,1.0
20800,10.0,10.0,1.0
20998,10.0,10.0,1.0
21414,10.0,10.0,1.0
1803,10.0,10.0,1.0
112067,10.0,10.0,1.0
113421,10.0,10.0,1.0
113994,9.0,9.0,1.0
114456,10.0,10.0,1.0
114638,10.0,10.0,1.0
21923,9.0,9.0,1.0
21960,10.0,10.0,1.0
22018,9.0,9.0,1.0
22650,9.0,9.0,1.0
23311,10.0,10.0,1.0
11924,10.0,10.0,1.0
11941,10.0,10.0,1.0
23852,10.0,10.0,1.0
23926,10.0,10.0,1.0
106455,9.0,9.0,1.0
106931,10.0,10.0,1.0
107001,10.0,10.0,1.0
107397,10.0,10.0,1.0
108416,10.0,10.0,1.0
108506,10.0,10.0,1.0
109162,8.0,8.0,1.0
109355,10.0,10.0,1.0
109836,10.0,10.0,1.0
101848,10.0,10.0,1.0
102128,10.0,10.0,1.0
102815,10.0,10.0,1.0
103682,10.0,10.0,1.0
104071,10.0,10.0,1.0
105066,9.0,9.0,1.0
105390,10.0,10.0,1.0
105483,9.0,9.0,1.0
105521,10.0,10.0,1.0
105606,10.0,10.0,1.0
2292,10.0,10.0,1.0
24110,9.0,9.0,1.0
24176,9.0,9.0,1.0
24813,9.0,9.0,1.0
24923,8.0,8.0,1.0
25654,10.0,10.0,1.0
25840,10.0,10.0,1.0
26834,10.0,10.0,1.0
26935,9.0,9.0,1.0
27090,10.0,10.0,1.0
29716,10.0,10.0,1.0
99240,10.0,10.0,1.0
99306,9.0,9.0,1.0
99316,10.0,10.0,1.0
99727,10.0,10.0,1.0
99729,10.0,10.0,1.0
100022,10.0,10.0,1.0
100942,9.0,9.0,1.0
2742,9.0,9.0,1.0
2926,9.0,9.0,1.0
30243,9.0,9.0,1.0
30377,9.0,9.0,1.0
30480,10.0,10.0,1.0
32103,10.0,10.0,1.0
32439,10.0,10.0,1.0
34879,10.0,10.0,1.0
3583,8.0,8.0,1.0
96881,9.0,9.0,1.0
97125,9.0,9.0,1.0
98106,10.0,10.0,1.0
98210,10.0,10.0,1.0
98845,10.0,10.0,1.0
3311,9.0,9.0,1.0
3533,9.0,9.0,1.0
99171,10.0,10.0,1.0
36310,9.0,9.0,1.0
36866,10.0,10.0,1.0
36906,10.0,10.0,1.0
37171,10.0,10.0,1.0
37309,10.0,10.0,1.0
37520,8.0,8.0,1.0
37923,9.0,9.0,1.0
38531,10.0,10.0,1.0
10492,10.0,10.0,1.0
10531,10.0,10.0,1.0
10599,9.0,9.0,1.0
39039,10.0,10.0,1.0
4696,9.0,9.0,1.0
94061,10.0,10.0,1.0
94076,10.0,10.0,1.0
94244,10.0,10.0,1.0
95568,10.0,10.0,1.0
95926,8.0,8.0,1.0
96016,9.0,9.0,1.0
96229,9.0,9.0,1.0
88683,9.0,9.0,1.0
88836,9.0,9.0,1.0
89321,8.0,8.0,1.0
90656,9.0,9.0,1.0
91283,10.0,10.0,1.0
91332,9.0,9.0,1.0
91949,10.0,10.0,1.0
4310,10.0,10.0,1.0
4393,9.0,9.0,1.0
39071,10.0,10.0,1.0
39242,10.0,10.0,1.0
39298,10.0,10.0,1.0
40761,10.0,10.0,1.0
41226,10.0,10.0,1.0
41479,10.0,10.0,1.0
41777,10.0,10.0,1.0
42011,10.0,10.0,1.0
42074,7.0,7.0,1.0
42634,10.0,10.0,1.0
5763,10.0,10.0,1.0
83435,9.0,9.0,1.0
83458,9.0,9.0,1.0
83906,9.0,9.0,1.0
84028,9.0,9.0,1.0
84491,10.0,10.0,1.0
84636,8.0,8.0,1.0
84975,8.0,8.0,1.0
85969,10.0,10.0,1.0
86974,10.0,10.0,1.0
87710,10.0,10.0,1.0
88217,9.0,9.0,1.0
79975,10.0,10.0,1.0
80827,10.0,10.0,1.0
80933,9.0,9.0,1.0
81269,10.0,10.0,1.0
81300,10.0,10.0,1.0
81347,10.0,10.0,1.0
81910,10.0,10.0,1.0
83114,10.0,10.0,1.0
10278,10.0,10.0,1.0
43634,10.0,10.0,1.0
44137,10.0,10.0,1.0
45333,9.0,9.0,1.0
45940,9.0,9.0,1.0
